   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
      2      95       0       0 ?             -1 S        0   0:00 [migration/3]
      2      96       0       0 ?             -1 S        0   0:00 [ksoftirqd/3]
      2      98       0       0 ?             -1 I<       0   0:00 [kworker/3:0H-events_highpri]
      2      99       0       0 ?             -1 S        0   0:00 [cpuhp/5]
      2     100       0       0 ?             -1 S        0   0:00 [idle_inject/5]
      2     101       0       0 ?             -1 S        0   0:00 [migration/5]
      2     102       0       0 ?             -1 S        0   0:00 [ksoftirqd/5]
      2     104       0       0 ?             -1 I<       0   0:00 [kworker/5:0H-kblockd]
      2     105       0       0 ?             -1 S        0   0:00 [cpuhp/7]
      2     106       0       0 ?             -1 S        0   0:00 [idle_inject/7]
      2     107       0       0 ?             -1 S        0   0:00 [migration/7]
      2     108       0       0 ?             -1 S        0   0:00 [ksoftirqd/7]
      2     110       0       0 ?             -1 I<       0   0:00 [kworker/7:0H-events_highpri]
      2     111       0       0 ?             -1 S        0   0:00 [kdevtmpfs]
      2     112       0       0 ?             -1 I<       0   0:00 [kworker/R-inet_]
      2     113       0       0 ?             -1 S        0   0:00 [kauditd]
      2     115       0       0 ?             -1 S        0   0:00 [khungtaskd]
      2     116       0       0 ?             -1 S        0   0:00 [oom_reaper]
      2     118       0       0 ?             -1 I<       0   0:00 [kworker/R-write]
      2     119       0       0 ?             -1 S        0   0:01 [kcompactd0]
      2     120       0       0 ?             -1 SN       0   0:00 [ksmd]
      2     122       0       0 ?             -1 SN       0   0:00 [khugepaged]
      2     123       0       0 ?             -1 I<       0   0:00 [kworker/R-kinte]
      2     124       0       0 ?             -1 I<       0   0:00 [kworker/R-kbloc]
      2     125       0       0 ?             -1 I<       0   0:00 [kworker/R-blkcg]
      2     126       0       0 ?             -1 S        0   0:00 [irq/9-acpi]
      2     128       0       0 ?             -1 I<       0   0:00 [kworker/R-tpm_d]
      2     129       0       0 ?             -1 I<       0   0:00 [kworker/R-ata_s]
      2     130       0       0 ?             -1 I<       0   0:00 [kworker/R-md]
      2     131       0       0 ?             -1 I<       0   0:00 [kworker/R-md_bi]
      2     132       0       0 ?             -1 I<       0   0:00 [kworker/R-edac-]
      2     133       0       0 ?             -1 I<       0   0:00 [kworker/R-devfr]
      2     134       0       0 ?             -1 S        0   0:00 [watchdogd]
      2     136       0       0 ?             -1 I<       0   0:00 [kworker/10:1H-kblockd]
      2     138       0       0 ?             -1 S        0   0:00 [kswapd0]
      2     139       0       0 ?             -1 S        0   0:00 [ecryptfs-kthread]
      2     140       0       0 ?             -1 I<       0   0:00 [kworker/R-kthro]
      2     141       0       0 ?             -1 I<       0   0:00 [kworker/R-acpi_]
      2     143       0       0 ?             -1 S        0   0:00 [hwrng]
      2     144       0       0 ?             -1 I<       0   0:00 [kworker/R-hfi-u]
      2     145       0       0 ?             -1 I<       0   0:00 [kworker/R-mld]
      2     146       0       0 ?             -1 I<       0   0:00 [kworker/9:1H-kblockd]
      2     147       0       0 ?             -1 I<       0   0:00 [kworker/R-ipv6_]
      2     154       0       0 ?             -1 I<       0   0:00 [kworker/R-kstrp]
      2     174       0       0 ?             -1 I<       0   0:00 [kworker/R-charg]
      2     200       0       0 ?             -1 I<       0   0:00 [kworker/4:1H-kblockd]
      2     230       0       0 ?             -1 I<       0   0:00 [kworker/5:1H]
      2     252       0       0 ?             -1 I<       0   0:00 [kworker/0:1H-events_highpri]
      2     253       0       0 ?             -1 I<       0   0:00 [kworker/1:1H-kblockd]
      2     254       0       0 ?             -1 I<       0   0:01 [kworker/14:1H-kblockd]
      2     256       0       0 ?             -1 I<       0   0:01 [kworker/15:1H-events_highpri]
      2     257       0       0 ?             -1 I<       0   0:00 [kworker/2:1H-events_highpri]
      2     258       0       0 ?             -1 I<       0   0:00 [kworker/6:1H-events_highpri]
      2     259       0       0 ?             -1 I<       0   0:00 [kworker/3:1H-events_highpri]
      2     260       0       0 ?             -1 I<       0   0:00 [kworker/11:1H-kblockd]
      2     261       0       0 ?             -1 I<       0   0:00 [kworker/8:1H-kblockd]
      2     262       0       0 ?             -1 I<       0   0:00 [kworker/12:1H-kblockd]
      2     263       0       0 ?             -1 I<       0   0:00 [kworker/13:1H-events_highpri]
      2     264       0       0 ?             -1 I<       0   0:00 [kworker/7:1H-kblockd]
      2     287       0       0 ?             -1 I<       0   0:00 [kworker/R-nvme-]
      2     288       0       0 ?             -1 I<       0   0:00 [kworker/R-nvme-]
      2     289       0       0 ?             -1 I<       0   0:00 [kworker/R-nvme-]
      2     290       0       0 ?             -1 I<       0   0:00 [kworker/R-nvme-]
      2     291       0       0 ?             -1 S        0   0:50 [irq/141-GXTP7863:00]
